searge,name,side,desc
func_148309_e,canMoveRight,0,
func_148310_d,showHoverOverlay,0,
func_148311_a,getResourcePackDescription,0,
func_148312_b,getResourcePackName,0,
func_148313_c,bindResourcePackIcon,0,
func_148314_g,canMoveUp,0,
func_148318_i,getResourcePackEntry,0,
func_148328_e,canScroll,0,
func_148888_e,wasAccepted,0,
func_148911_c,getWindowId,0,
func_148944_c,getDataManagerEntries,0,
func_148974_c,getStatisticMap,0,
func_149002_g,setData,0,
func_149009_m,getData,0,
func_149027_c,getDataManagerEntries,0,
func_149049_f,getZ,2,
func_149050_e,getY,2,
func_149051_d,getX,2,
func_149052_c,getEntityId,0,
func_149053_g,getType,0,
func_149060_h,isRotating,0,
func_149061_d,getY,2,
func_149062_c,getX,2,
func_149063_g,getPitch,0,
func_149064_e,getZ,2,
func_149066_f,getYaw,0,
func_149134_c,getId,0,
func_149137_d,getValue,0,
func_149144_d,getMotionY,0,
func_149147_e,getMotionZ,0,
func_149149_c,getMotionX,0,
func_149173_d,getSlot,0,
func_149174_e,getStack,0,
func_149175_c,getWindowId,0,
func_149274_i,doChunkLoad,0,
func_149337_d,getObjectiveValue,0,
func_149338_e,getAction,0,
func_149339_c,getObjectiveName,0,
func_149370_d,getName,0,
func_149371_c,getPosition,0,
func_149376_c,getDataManagerEntries,0,
func_149397_c,getExperienceBar,0,
func_149429_c,isMaxDuration,0,
func_149441_d,getSnapshots,0,
func_149603_c,getReason,0,
func_149630_c,getMatches,0,
func_150310_b,topTagsCount,2,
func_150311_c,locateValue,2,
func_150312_a,getNextCharIndex,2,
func_150313_b,locateName,2,
func_150314_a,nextNameValuePair,2,
func_150316_a,nameValueToNBT,2,
func_150502_a,bufToBytes,2,
func_150523_a,canGrowInto,2,
func_150526_a,placeLeafAt,2,
func_150533_a,getHeight,2,
func_150541_c,createCrown,2,
func_150557_a,setColor,2,
func_150563_c,setWaterColor,2,
func_150619_a,generateBands,2,
func_150645_c,connectTo,2,
func_150649_b,canConnectTo,2,
func_150651_b,removeSoftConnections,2,
func_150653_a,isConnectedToRail,2,
func_150804_b,onTick,2,
func_150809_p,checkLight,2,
func_150811_f,checkLight,2,
func_150857_a,isEmptyBlock,2,
func_150858_a,calculatePortalHeight,2,
func_150859_c,placePortalBlocks,2,
func_150860_b,isValid,2,
func_150870_b,getProgress,2,
func_150872_a,setProgress,2,
func_150874_c,countRequirementsUntilAvailable,0,
func_150876_a,sendStats,2,
func_150877_d,markAllDirty,2,
func_150878_c,getDirty,2,
func_150879_e,hasUnsentAchievement,2,
func_150953_b,setSerializableClazz,2,
func_150954_l,getSerializableClazz,2,
func_150959_a,getItem,0,
func_151232_a,getName,2,
func_151248_b,sendToTrackingAndSelf,2,
func_151261_b,sendToTrackingAndSelf,2,
func_151372_b,getJsonKeys,0,
func_151373_a,addJsonKey,0,
func_151379_a,forException,0,
func_151380_a,prependJsonKey,0,
func_151381_b,setFilenameAndFlush,0,
func_151408_c,getModifiers,2,
func_151409_a,getName,2,
func_151410_b,getBaseValue,2,
func_151514_a,init,2,
func_151559_a,getRandomCropType,2,
func_151560_a,getRandomCropType,2,
func_151599_a,getRegion,2,
func_151600_a,getRegion,2,
func_151601_a,getValue,2,
func_151604_a,dot,2,
func_151605_a,getValue,2,
func_151606_a,add,2,
func_151607_a,fastFloor,2,
func_151630_c,riverFilter,2,
func_151631_c,isJungleCompatible,2,
func_151632_a,replaceIfNeighborOcean,2,
func_151633_d,isMesa,2,
func_152380_a,getLoadedChunks,2,
func_152455_a,read,2,
func_152756_c,getItems,0,
func_152757_a,addItem,0,
func_152758_b,capacity,0,
func_154353_e,absFloor,0,
func_174845_l,init,0,
func_174855_j,getEnumFish,2,
func_174858_a,offs,2,
func_174865_a,setRotation,2,
func_174866_q,getAnalogOutput,2,
func_174870_v,makeFakeItem,2,
func_174894_a,addItem,2,
func_174899_a,setDisplayTile,2,
func_174902_m,createFilledSlotsArray,2,
func_174910_a,setNeighbor,2,
func_175137_e,giveTeamKillScores,2,
func_175139_a,setRenderOffsetForSleep,2,
func_175145_a,takeStat,2,
func_175202_a,addLine,0,
func_175207_a,setGuiResponder,0,
func_175212_b,setValue,0,
func_175217_d,getSliderPosition,0,
func_175218_a,setSliderValue,0,
func_175219_a,setSliderPosition,0,
func_175220_c,getSliderValue,0,
func_175229_b,setLocked,0,
func_175230_c,isLocked,0,
func_175257_a,onSpectatorMenuClosed,0,
func_175258_a,renderPage,0,
func_175259_b,onMouseScroll,0,
func_175260_a,onHotbarSelected,0,
func_175261_b,onMiddleClick,0,
func_175262_a,isMenuActive,0,
func_175265_c,getHotbarAlpha,0,
func_175266_a,renderSlot,0,
func_175304_a,updateButtonValidity,0,
func_175305_g,hasValidSelection,0,
func_175319_a,setEntryValue,0,
func_175321_a,setEntryValue,0,
func_175322_b,enterConfirmation,0,
func_175323_a,saveValues,0,
func_175324_a,loadValues,0,
func_175325_f,createPagedList,0,
func_175326_g,restoreDefaults,0,
func_175327_a,modifyFocusValue,0,
func_175328_i,updatePageControls,0,
func_175329_a,setConfirmationControls,0,
func_175330_b,getFormattedValue,0,
func_175331_h,exitConfirmation,0,
func_175354_a,registerPreset,0,
func_175355_a,getDifficultyText,0,
func_175358_a,getMessage,0,
func_175366_f,initLists,0,
func_175371_a,getTexture,0,
func_175385_b,getClickedComponentAt,0,
func_175388_a,updateCmdOutput,0,
func_175391_a,moveServerUp,0,
func_175392_a,canMoveUp,0,
func_175393_b,moveServerDown,0,
func_175394_b,canMoveDown,0,
func_175422_a,equipItem,2,
func_175448_a,canEquipItem,2,
func_175451_e,dealDamage,2,
func_175464_ck,getAttackDuration,2,
func_175469_o,getSpikesAnimation,0,
func_175471_a,getTailAnimation,0,
func_175472_n,isMoving,2,
func_175476_l,setMoving,2,
func_175477_p,getAttackAnimationScale,2,
func_175493_co,incrementDroppedSkulls,2,
func_175501_a,ageUp,2,
func_175507_cI,hasTexture,0,
func_175517_cu,checkLandingDelay,2,
func_175518_cr,enableJumpControl,2,
func_175520_cs,disableJumpControl,2,
func_175521_o,setJumpCompletion,0,
func_175523_cj,isJumping,2,
func_175553_cp,hasEnoughFoodToBreed,2,
func_175557_cr,wantsMoreFood,2,
func_175567_n,hasMovementVector,2,
func_175568_b,setMovementVector,2,
func_175712_a,getPendingBlockUpdates,2,
func_175744_a,fromColorIndex,2,
func_175745_c,lowercaseAlpha,2,
func_175763_c,getEntitiesMatchPattern,2,
func_175771_a,getTabCompletionCoordinate,2,
func_175773_a,setGamerulesAtAllPlayers,2,
func_175776_d,getAllPlayerNames,2,
func_175777_e,getWritableObjectives,2,
func_175778_p,performScore,2,
func_175779_n,enableTrigger,2,
func_175780_b,processWildcard,2,
func_175781_o,testScore,2,
func_175782_e,getTriggeredObjectives,2,
func_175787_b,notifyPostProcessAt,2,
func_175788_a,isValidForPostProcess,2,
func_175789_b,create,2,
func_175793_a,canReplaceBlock,2,
func_175795_b,isInsideStructure,2,
func_175797_c,getStructureAt,2,
func_175798_a,isSwampHut,2,
func_175805_a,fillWithBlocksRandomly,2,
func_175812_a,findStairs,2,
func_175813_a,findCrossing,2,
func_175814_a,findCorridorSize,2,
func_175817_a,spawnElder,2,
func_175818_a,doesChunkIntersect,2,
func_175819_a,generateBoxOnFillOnly,2,
func_175820_a,getRoomIndex,2,
func_175821_a,generateDefaultFloor,2,
func_175835_e,generateLowerWall,2,
func_175836_a,generateRoomGraph,2,
func_175837_c,generateEntranceWall,2,
func_175838_g,generateUpperWall,2,
func_175839_b,generateEntranceArchs,2,
func_175840_a,generateWing,2,
func_175841_d,generateRoofPiece,2,
func_175842_f,generateMiddleWall,2,
func_175846_a,setIsDesertVillage,2,
func_175847_a,getBiomeSpecificBlockState,2,
func_175848_a,findPieceBox,2,
func_175849_a,createPiece,2,
func_175850_a,createPiece,2,
func_175851_a,createPiece,2,
func_175852_a,createPiece,2,
func_175853_a,createPiece,2,
func_175854_a,createPiece,2,
func_175855_a,createPiece,2,
func_175856_a,findPieceBox,2,
func_175857_a,createPiece,2,
func_175858_a,createPiece,2,
func_175859_a,createPiece,2,
func_175860_a,createPiece,2,
func_175861_a,createPiece,2,
func_175862_a,createPiece,2,
func_175863_a,createPiece,2,
func_175864_a,createPiece,2,
func_175865_a,createPiece,2,
func_175866_a,createPiece,2,
func_175867_a,createPiece,2,
func_175868_a,createPiece,2,
func_175869_a,findPieceBox,2,
func_175870_a,generateAndAddPiece,2,
func_175871_a,generatePiece,2,
func_175872_a,createPiece,2,
func_175873_a,createPiece,2,
func_175874_a,createPiece,2,
func_175875_a,createPiece,2,
func_175876_a,createPiece,2,
func_175877_a,createPiece,2,
func_175878_a,createPiece,2,
func_175879_a,createPiece,2,
func_175880_a,createPiece,2,
func_175881_a,createPiece,2,
func_175882_a,createPiece,2,
func_175883_a,createPiece,2,
func_175884_a,createPiece,2,
func_175885_a,createPiece,2,
func_175887_b,findAndCreateBridgePieceFactory,2,
func_175890_b,generateAndAddPiece,2,
func_175892_a,createRandomShaftPiece,2,
func_175896_b,getLength,2,
func_175899_a,createProper,2,
func_175904_e,setDecorationDefaults,2,
func_175921_a,setDirtAt,2,
func_175924_b,placeLeafAt,2,
func_175925_a,growLeavesLayerStrict,2,
func_175926_c,isSpaceAt,2,
func_175927_a,ensureDirtsUnderneath,2,
func_175928_b,growLeavesLayer,2,
func_175929_a,ensureGrowable,2,
func_175930_c,createCrown,2,
func_175933_b,placePodzolCircle,2,
func_175934_c,placePodzolAt,2,
func_175937_a,limb,2,
func_175938_b,getLogAxis,2,
func_175953_c,generateAndAddPiece,2,
func_175954_a,findAndCreatePieceFactory,2,
func_175955_b,generatePieceFromSmallDoor,2,
func_175957_a,setConnection,2,
func_175958_a,updateOpenings,2,
func_175959_a,findSource,2,
func_175960_c,countOpenings,2,
func_175961_b,isSpecial,2,
func_175968_a,create,2,
func_175969_a,fits,2,
func_176065_a,findAndCreateComponentFactory,2,
func_176066_d,generateAndAddComponent,2,
func_176067_c,generateComponent,2,
func_176069_e,generateAndAddRoadPiece,2,
func_176110_a,getType,2,
func_176111_d,getRotation,2,
func_176112_b,getX,2,
func_176113_c,getY,2,
func_176170_a,getPathNavigabilityState,2,
func_176186_b,isEntityCollideWater,2,
func_176260_a,calculateState,2,
func_176262_b,notifyNeighbors,2,
func_176307_f,getStairConnectionDirection,2,
func_176307_g,getOppositeStairConnectionDirection,2,
func_176307_h,checkStairStructureBounds,2,
func_176307_i,adjustStairBlockBounds,2,
func_176339_d,isPowerSourceAt,2,
func_176374_a,getSlopeDistance,2,
func_176548_d,trySpawnPortal,2,
func_176564_a,updateDir,2,
func_176566_a,findPoweredRailSignal,2,
func_176567_a,isSameRailWithPower,2,
func_177077_a,transformModelCount,0,
func_177078_a,getModelCount,0,
func_177082_d,getStackToRender,0,
func_177110_a,getPosition,0,
func_177250_b,addBranchingBlocks,2,
func_177251_a,addBlockLine,2,
func_177255_a,reorderListAtCollision,2,
func_177372_a,isFirstOrUV,0,
func_177441_y,setSkylightUpdated,2,
func_177461_b,getBlockStateFor,2,
func_177629_a,addContents,2,
func_177863_a,setDefaults,2,
func_177864_b,build,2,
func_177999_q,getBranchBase,2,
func_178013_b,canJoin,0,
func_178016_b,releaseComponent,0,
func_178017_a,renderComponent,0,
func_178018_a,clickTextField,0,
func_178019_b,releaseButton,0,
func_178021_b,getComponent2,0,
func_178022_a,getComponent1,0,
func_178023_a,clickButton,0,
func_178024_a,renderButton,0,
func_178025_a,renderLabel,0,
func_178026_a,clickComponent,0,
func_178027_a,renderTextField,0,
func_178040_a,updateItemPos,0,
func_178051_a,blitIcon,0,
func_178054_a,renderIcon,0,
func_178055_t,populateEntries,0,
func_178056_g,getFocusedControl,0,
func_178057_f,getPageCount,0,
func_178058_a,createEntry,0,
func_178059_e,getPage,0,
func_178060_e,markVisibility,0,
func_178061_c,getComponent,0,
func_178062_a,onKeyPressed,0,
func_178063_a,createLabel,0,
func_178064_i,nextPage,0,
func_178065_a,createButton,0,
func_178066_a,setComponentVisibility,0,
func_178067_a,createSilder,0,
func_178068_a,createTextField,0,
func_178069_s,populateComponents,0,
func_178071_h,previousPage,0,
func_178148_a,getEnchantmentList,2,
func_178157_a,getBaseCoordinate,0,
func_178345_c,getVertexRotatedRev,0,
func_178346_b,getVertexV,0,
func_178347_d,getVertexRotated,0,
func_178348_a,getVertexU,0,
func_178369_d,isHorizontal,0,
func_178371_c,getYOffset,0,
func_178372_b,getXOffset,0,
func_178381_d,getAnchor,0,
func_178382_a,expand,0,
func_178383_a,getFacing,0,
func_178384_c,getMax,0,
func_178385_b,getMin,0,
func_178391_a,isTransparent,0,
func_178393_a,getSpans,0,
func_178394_a,getBlockParts,0,
func_178395_a,createOrExpandSpan,0,
func_178396_a,checkTransition,0,
func_178397_a,getBlockParts,0,
func_178463_a,getBannerResourceLocation,0,
func_178603_a,getNeighborIndexAtFace,0,
func_178604_a,floodFill,0,
func_178606_a,setOpaqueCube,0,
func_178609_b,getVisibleFacings,0,
func_178610_a,addEdges,0,
func_178641_d,exit,0,
func_178642_a,getItems,0,
func_178643_a,getItem,0,
func_178644_b,selectSlot,0,
func_178645_b,getSelectedItem,0,
func_178646_f,getCurrentPage,0,
func_178647_a,selectCategory,0,
func_178648_e,getSelectedSlot,0,
func_178650_c,getSelectedCategory,0,
func_178661_a,selectItem,0,
func_178662_A_,isEnabled,0,
func_178663_a,renderIcon,0,
func_178669_a,getItems,0,
func_178670_b,getPrompt,0,
func_178680_a,getObject,0,
func_178681_b,getSelectedSlot,0,
func_178706_a,getModelVersion,0,
func_178795_a,getByName,2,
func_178796_a,getRenderType,2,
func_178820_a,broadcastScoreUpdate,2,
func_178824_a,getByName,2,
func_178825_a,getNames,2,
func_178835_l,getLastHealth,0,
func_178836_b,setLastHealth,0,
func_178843_c,setRenderVisibilityId,0,
func_178844_b,setHealthBlinkTime,0,
func_178846_a,setLastHealthTime,0,
func_178847_n,getLastHealthTime,0,
func_178855_p,getRenderVisibilityId,0,
func_178857_c,setDisplayHealth,0,
func_178858_o,getHealthBlinkTime,0,
func_178860_m,getDisplayHealth,0,
func_178892_a,createClientPlayer,0,
func_178909_a,removeTextColorsIfConfigured,0,
func_178910_a,getX,0,
func_178912_b,getY,0,
func_178934_d,shouldStartVisible,0,
func_178935_b,getId,0,
func_178936_c,getCaption,0,
func_178940_a,getInitialValue,0,
func_178942_g,getInitalValue,0,
func_178943_e,getMinValue,0,
func_178944_f,getMaxValue,0,
func_178945_a,getFormatter,0,
func_178950_a,getFilter,0,
func_179269_a,locateValueAt,2,
func_179270_a,getTagFromNameValue,2,
func_179271_b,isCharEscaped,2,
func_179272_a,joinStrToNBT,2,
func_179326_d,getName,0,
func_179462_f,notifyHurt,2,
func_179474_a,canPlaceBlock,2,
func_179512_a,getAttackReachSqr,2,
func_179533_c,matchPatterns,2,
func_179628_a,getResult,2,
func_179629_b,getAmount,2,
func_179630_c,isRelative,2,
func_179650_a,wrapAngleTo160,0,
func_179651_b,getArgument,2,
func_179658_a,getEntitiesFromPredicates,2,
func_179661_a,getAABB,2,
func_179663_a,getTypePredicates,2,
func_179664_b,getBlockPosFromArguments,2,
func_179665_h,hasArgument,2,
func_179707_f,doesShowParticles,0,
func_179757_a,copyArray,2,
func_179788_a,apply,0,
func_179817_d,getRenderType,0,
func_179834_f,getFlags,0,
func_179849_a,setLastActivityTimestamp,2,
func_179850_c,isInsideSide,2,
func_179861_a,isAreaClearAround,2,
func_179862_a,findRandomSpawnPos,2,
func_179866_a,isBlockPosWithinSqVillageRadius,2,
func_179867_a,findRandomSpawnPos,2,
func_179920_a,setDirection,2,
func_180053_a,fromValue,2,
func_180054_b,isFlagSet,2,
func_180055_a,getBitmask,2,
func_180056_a,toValue,2,
func_180065_d,canJump,2,
func_180066_a,setCanJump,2,
func_180073_d,getJumpDuration,2,
func_180074_b,getJumpMotionOnAction,2,
func_180089_b,getOffset,2,
func_180120_a,getDistanceUntilEdge,2,
func_180134_f,getCombatDuration,2,
func_180181_b,rgb,0,
func_180183_b,rgb,0,
func_180188_d,multiplyColor,0,
func_180204_a,getItemName,2,
func_180233_c,isVisibleTo,2,
func_180245_a,updateVisibility,2,
func_180284_a,getBiome,2,
func_180303_b,getRemainingItems,2,
func_180360_a,updateConnectedRails,2,
func_180361_d,hasNeighborRail,2,
func_180363_c,isConnectedTo,2,
func_180364_a,place,2,
func_180372_d,getParent,2,
func_180375_b,getAppliedModifiers,2,
func_180376_c,createInstance,2,
func_180460_a,moveAlongTrack,2,
func_180515_a,generateTerrain,2,
func_180516_b,generateSurface,2,
func_180519_a,generateSurface,2,
func_180520_a,generateTerrain,2,
func_180560_a,renderBright,0,
func_180611_e,getTileEntity,2,
func_180612_a,getEntity,2,
func_180629_a,getBand,2,
func_180694_a,playSound,2,
func_180698_a,getRadiusPredicates,2,
func_180700_a,checkLightSide,2,
func_180702_a,addTunnel,2,
func_180703_a,addRoom,2,
func_180704_a,addTunnel,2,
func_180705_a,addRoom,2,
func_180707_a,addTunnel,2,
func_180711_a,generateSaplings,2,
func_180715_a,getLayerFromString,2,
func_180716_a,getLayersFromString,2,
func_180737_a,calculateByteChunk,2,
func_180779_c,chooseProfession,2,
func_180794_a,onAttributeModified,2,
func_181014_aG,getLastPortalVec,2,
func_181031_a,setSettingsModified,0,
func_181043_b,getTabCompletionCoordinateXZ,2,
func_181058_b,getFormattedListOfPlayers,2,
func_181065_a,isEmptyBlock,2,
func_181066_d,getColor,2,
func_181068_c,getMapColor,2,
func_181072_c,getMapColor,2,
func_181074_c,getMapColor,2,
func_181077_c,getLocationEnchantments,2,
func_181078_a,areItemStacksExactlyEqual,2,
func_181088_a,canPlaceBlock,2,
func_181089_f,createPatternHelper,2,
func_181090_a,canAttachTo,2,
func_181091_e,checkCanSurvive,2,
func_181100_a,getHeight,2,
func_181101_b,getWidth,2,
func_181118_d,getWidth,2,
func_181119_e,getHeight,2,
func_181123_a,areNBTEquals,2,
func_181138_a,offset,2,
func_181140_a,removeEntity,2,
func_181155_a,setActive,0,
func_181156_c,setPage,0,
func_181160_c,pct,2,
func_181161_i,fastInvSqrt,2,
func_181162_h,frac,0,
func_181550_a,updateBoundingBox,2,
func_181556_a,getItemsCollideHopper,2,
func_181557_a,stopMusic,0,
func_181558_a,playMusic,0,
func_181624_a,isTwoByTwoOfType,2,
func_181627_a,createLoadingCache,2,
func_181631_a,crosSection,2,
func_181632_a,placeVine,2,
func_181638_a,placeTreeOfHeight,2,
func_181639_b,placeLogAt,2,
func_181642_b,placeLogAt,2,
func_181647_a,addVine,2,
func_181650_b,addHangingVine,2,
func_181651_a,addVine,2,
func_181652_a,placeCocoa,2,
func_181655_a,generateWaterBox,2,
func_181683_a,getTransform,0,
func_181687_c,hasCustomTransform,0,
func_183000_F,onlyOpsCanSetNbt,2,
func_183001_h,getPotionId,2,
func_183006_b,isMovePlayerPacketInvalid,2,
func_183013_b,writeChunkData,2,
func_183019_a,getResourcePackFormat,0,
func_183027_f,getPackFormat,0,
func_70489_a,getPos,2,
func_70495_a,getPosOffset,0,
func_70845_n,isCharged,2,
func_74935_a,offsetToAverageGroundLevel,2,
func_75079_a,updatePieceWeight,2,
func_75529_b,trySetupSiege,2,
func_76309_a,grad2,2,
func_77551_a,addServer,0,
func_78172_a,triangleWave,0,
func_78822_a,doPlace,2,
func_78823_a,isValid,2,
func_82204_b,rotlerp,2,
func_82206_m,ignite,2,
func_82207_a,getHeadYRotation,0,
func_82208_v,getHeadY,2,
func_82210_r,getHeadXRotation,0,
func_82213_w,getHeadZ,2,
func_82214_u,getHeadX,2,
func_82400_a,getRenderYaw,0,
func_82427_a,swapArmor,0,
func_82488_a,getWorldEventDataFrom,2,
func_82498_a,getProjectileInaccuracy,2,
func_82500_b,getProjectileVelocity,2,
func_82645_d,updateLayers,2,
func_85172_a,sendLeashedEntitiesInChunk,2,
func_92037_i,isFarFromCamera,0,
func_92092_a,getBlastDamageReduction,2,
func_92094_a,shouldHit,2,
func_92095_b,getDamage,2,
func_94534_d,getQuickcraftMask,0,
func_94542_g,resetFallSuffix,2,
func_94544_f,getBestCombatEntry,2,
func_94545_a,calculateFallSuffix,2,
func_94548_b,getFallSuffix,2,
func_94550_c,getBestAttacker,2,
func_94562_g,getFallSuffix,2,
func_94563_c,getDamage,2,
func_96112_aD,captureDroppedItems,2,
func_96496_a,teamsToNbt,2,
func_96497_d,fillInDisplaySlots,2,
func_96502_a,loadTeamPlayers,2,
func_96513_c,broadcastTeamRemove,2,
func_96516_a,broadcastScoreUpdate,2,
func_96536_a,onScoreUpdated,2,
func_96547_a,setScoreboardSaveData,2,
func_96548_f,getDestroyPackets,2,
func_96549_e,addObjective,2,
func_96550_d,getCreatePackets,2,
func_96552_h,getObjectiveDisplaySlotCount,2,
func_96560_a,getScoreMap,2,
func_96648_a,incrementScore,2,
func_96651_a,updateScoreToPlayers,2,
func_98039_d,getMobSpawnerLogic,2,
func_98267_a,broadcastEvent,2,
func_98298_a,setFriendlyFlags,0,
func_98299_i,getFriendlyFlags,2,
